matrix,row,col
S,8404,13094
I,J,V
3411.0,49.0,-1.0
3414.0,49.0,1.0
3350.0,50.0,1.0
3413.0,50.0,1.0
3414.0,50.0,-1.0
3526.0,50.0,-1.0
3357.0,51.0,7.0
3413.0,51.0,-1.0
3416.0,51.0,1.0
4748.0,51.0,-7.0
3164.0,52.0,1.0
3526.0,52.0,-1.0
4182.0,52.0,-1.0
4188.0,52.0,1.0
3354.0,53.0,1.0
3533.0,53.0,-1.0
4183.0,53.0,-1.0
4189.0,53.0,1.0
3164.0,54.0,2.0
3526.0,54.0,-2.0
4184.0,54.0,1.0
4188.0,54.0,-1.0
3354.0,55.0,2.0
3533.0,55.0,-2.0
4185.0,55.0,1.0
4189.0,55.0,-1.0
3164.0,56.0,1.0
3526.0,56.0,-1.0
4184.0,56.0,-1.0
4186.0,56.0,1.0
3354.0,57.0,1.0
3533.0,57.0,-1.0
4185.0,57.0,-1.0
4187.0,57.0,1.0
3164.0,58.0,1.0
3526.0,58.0,-1.0
4186.0,58.0,-1.0
4190.0,58.0,1.0
3354.0,59.0,1.0
3533.0,59.0,-1.0
4187.0,59.0,-1.0
4191.0,59.0,1.0
3164.0,60.0,1.0
3526.0,60.0,-1.0
4190.0,60.0,-1.0
4195.0,60.0,1.0
3354.0,61.0,1.0
3533.0,61.0,-1.0
4191.0,61.0,-1.0
4196.0,61.0,1.0
3164.0,62.0,1.0
3526.0,62.0,-1.0
4195.0,62.0,-1.0
4197.0,62.0,1.0
3354.0,63.0,1.0
3533.0,63.0,-1.0
4196.0,63.0,-1.0
4199.0,63.0,1.0
3354.0,64.0,1.0
3533.0,64.0,-1.0
4194.0,64.0,1.0
4199.0,64.0,-1.0
3350.0,65.0,1.0
3526.0,65.0,-1.0
4192.0,65.0,1.0
4197.0,65.0,-1.0
3352.0,66.0,1.0
3528.0,66.0,-1.0
4193.0,66.0,1.0
4198.0,66.0,-1.0
3164.0,67.0,1.0
3526.0,67.0,-1.0
4192.0,67.0,1.0
4197.0,67.0,-1.0
3164.0,68.0,2.0
3526.0,68.0,-1.0
4192.0,68.0,-1.0
3350.0,69.0,2.0
3526.0,69.0,-1.0
4192.0,69.0,-1.0
3352.0,70.0,2.0
3528.0,70.0,-1.0
4193.0,70.0,-1.0
3354.0,71.0,8.0
3533.0,71.0,-8.0
5084.0,71.0,-1.0
5085.0,71.0,1.0
3354.0,72.0,1.0
3533.0,72.0,-1.0
4194.0,72.0,1.0
5085.0,72.0,-1.0
454.0,73.0,-1.0
1461.0,73.0,1.0
3355.0,73.0,1.0
3357.0,73.0,-1.0
3357.0,74.0,-1.0
3518.0,74.0,-1.0
4768.0,74.0,1.0
5408.0,74.0,1.0
5460.0,74.0,-1.0
5405.0,75.0,-1.0
5408.0,75.0,1.0
2032.0,76.0,1.0
2102.0,76.0,1.0
2210.0,76.0,-1.0
3246.0,76.0,-1.0
3518.0,76.0,1.0
2102.0,77.0,1.0
3357.0,77.0,-1.0
5405.0,77.0,-1.0
5408.0,77.0,1.0
3249.0,78.0,-1.0
3357.0,78.0,1.0
5405.0,78.0,1.0
5408.0,78.0,-1.0
3165.0,79.0,1.0
3354.0,79.0,1.0
3533.0,79.0,-1.0
5108.0,79.0,-1.0
2032.0,80.0,1.0
2210.0,80.0,-1.0
3246.0,80.0,-1.0
3249.0,80.0,1.0
3518.0,80.0,1.0
3248.0,81.0,1.0
3354.0,81.0,1.0
3533.0,81.0,-1.0
3969.0,81.0,-1.0
3248.0,82.0,1.0
3252.0,82.0,-1.0
3396.0,82.0,1.0
3533.0,82.0,-1.0
2311.0,83.0,-1.0
2697.0,83.0,1.0
2969.0,83.0,1.0
3518.0,83.0,-1.0
5129.0,83.0,-1.0
2969.0,84.0,-1.0
3518.0,84.0,1.0
3740.0,84.0,1.0
3800.0,84.0,-1.0
5129.0,84.0,1.0
1313.0,85.0,1.0
3525.0,85.0,1.0
3969.0,85.0,-1.0
4365.0,85.0,-1.0
4370.0,85.0,1.0
1311.0,86.0,-1.0
1313.0,86.0,1.0
3354.0,86.0,-1.0
3533.0,86.0,1.0
3351.0,87.0,-1.0
3519.0,87.0,1.0
3967.0,87.0,1.0
5399.0,87.0,1.0
5406.0,87.0,-1.0
2032.0,88.0,1.0
2210.0,88.0,-1.0
2967.0,88.0,-1.0
2969.0,88.0,1.0
3518.0,88.0,1.0
2848.0,89.0,1.0
2969.0,89.0,-1.0
3389.0,89.0,1.0
3247.0,90.0,1.0
3352.0,90.0,1.0
3528.0,90.0,-1.0
3968.0,90.0,-1.0
3245.0,91.0,1.0
3246.0,91.0,-1.0
3518.0,91.0,-1.0
4371.0,91.0,1.0
4378.0,91.0,-1.0
2102.0,92.0,-1.0
3518.0,92.0,-1.0
4768.0,92.0,1.0
5405.0,92.0,1.0
5460.0,92.0,-1.0
2032.0,93.0,1.0
2210.0,93.0,-1.0
3301.0,93.0,1.0
3389.0,93.0,-1.0
3518.0,93.0,1.0
2032.0,94.0,1.0
2210.0,94.0,-1.0
3168.0,94.0,1.0
3170.0,94.0,-1.0
3518.0,94.0,1.0
2032.0,95.0,1.0
2210.0,95.0,-1.0
3164.0,95.0,-1.0
3167.0,95.0,1.0
3518.0,95.0,1.0
2827.0,96.0,-1.0
3164.0,96.0,1.0
3518.0,96.0,1.0
4360.0,96.0,-1.0
4366.0,96.0,1.0
2827.0,97.0,-1.0
3350.0,97.0,1.0
3518.0,97.0,1.0
4371.0,97.0,-1.0
4378.0,97.0,1.0
2032.0,98.0,1.0
2210.0,98.0,-1.0
2827.0,98.0,-1.0
3518.0,98.0,1.0
5039.0,98.0,1.0
2032.0,99.0,1.0
2210.0,99.0,-1.0
3164.0,99.0,-1.0
3169.0,99.0,1.0
3518.0,99.0,1.0
2032.0,100.0,1.0
2210.0,100.0,-1.0
3164.0,100.0,-1.0
3170.0,100.0,1.0
3518.0,100.0,1.0
2032.0,101.0,1.0
2210.0,101.0,-1.0
2905.0,101.0,1.0
3518.0,101.0,1.0
4205.0,101.0,-1.0
2848.0,102.0,-1.0
3167.0,102.0,1.0
3389.0,102.0,-1.0
3170.0,103.0,-1.0
4206.0,103.0,1.0
4205.0,104.0,1.0
4206.0,104.0,-1.0
3318.0,105.0,-1.0
3326.0,105.0,1.0
3518.0,105.0,-1.0
4205.0,105.0,-1.0
4748.0,105.0,1.0
3326.0,106.0,1.0
3505.0,106.0,-1.0
3518.0,106.0,-1.0
4205.0,106.0,-1.0
4768.0,106.0,1.0
3323.0,107.0,1.0
3326.0,107.0,-1.0
3526.0,107.0,1.0
3324.0,108.0,-1.0
3505.0,108.0,1.0
3518.0,108.0,1.0
4046.0,108.0,1.0
4768.0,108.0,-1.0
1829.0,109.0,-1.0
2032.0,109.0,1.0
2210.0,109.0,-1.0
3518.0,109.0,1.0
4046.0,109.0,1.0
1829.0,110.0,-1.0
4047.0,110.0,1.0
2032.0,111.0,1.0
2210.0,111.0,-1.0
3518.0,111.0,1.0
4200.0,111.0,-1.0
4206.0,111.0,1.0
3168.0,112.0,-1.0
3170.0,112.0,1.0
3526.0,112.0,-1.0
4748.0,112.0,1.0
3518.0,113.0,-1.0
4146.0,113.0,-1.0
4371.0,113.0,1.0
4378.0,113.0,-1.0
5506.0,113.0,1.0
3518.0,114.0,1.0
4146.0,114.0,1.0
4360.0,114.0,-1.0
4366.0,114.0,1.0
5506.0,114.0,-1.0
2994.0,115.0,-1.0
3518.0,115.0,-1.0
4371.0,115.0,1.0
4378.0,115.0,-1.0
5506.0,115.0,1.0
2997.0,116.0,1.0
3518.0,116.0,1.0
4360.0,116.0,-1.0
4366.0,116.0,1.0
5506.0,116.0,-1.0
2993.0,117.0,1.0
2994.0,117.0,-1.0
3518.0,117.0,1.0
4371.0,117.0,-1.0
4378.0,117.0,1.0
2032.0,118.0,-1.0
2210.0,118.0,1.0
2997.0,118.0,1.0
2999.0,118.0,-1.0
3518.0,118.0,-1.0
3518.0,119.0,-1.0
3974.0,119.0,-1.0
3976.0,119.0,1.0
4371.0,119.0,1.0
4378.0,119.0,-1.0
3518.0,120.0,-1.0
3976.0,120.0,1.0
4146.0,120.0,-1.0
4360.0,120.0,1.0
4366.0,120.0,-1.0
3373.0,121.0,-1.0
3524.0,121.0,-1.0
4054.0,121.0,1.0
4376.0,121.0,1.0
4383.0,121.0,-1.0
1257.0,122.0,-1.0
3518.0,122.0,-1.0
4053.0,122.0,1.0
4360.0,122.0,1.0
4366.0,122.0,-1.0
1257.0,123.0,-1.0
2636.0,123.0,1.0
3518.0,123.0,-1.0
4146.0,123.0,1.0
2032.0,124.0,1.0
2210.0,124.0,-1.0
2963.0,124.0,-1.0
3518.0,124.0,1.0
4936.0,124.0,1.0
2832.0,125.0,1.0
3518.0,125.0,2.0
3526.0,125.0,-1.0
5411.0,125.0,-1.0
5426.0,125.0,1.0
2832.0,126.0,-1.0
3371.0,126.0,1.0
3526.0,126.0,-1.0
4748.0,126.0,1.0
3371.0,127.0,1.0
3518.0,127.0,1.0
3526.0,127.0,-1.0
5398.0,127.0,1.0
5411.0,127.0,-1.0
3371.0,128.0,-1.0
3518.0,128.0,-1.0
4053.0,128.0,1.0
4371.0,128.0,1.0
4378.0,128.0,-1.0
1962.0,129.0,-1.0
1970.0,129.0,1.0
3518.0,129.0,2.0
3526.0,129.0,-1.0
